Rank,Player,Age,Elo,Hard,Clay,Grass,Peak Match,Peak Age,Peak Elo
75,Adrian Mannarino,30.6,1731.0,1618.2,1535.8,1687.6,2018 Australian Open R32,29.5,1879.7
76,Ryan Harrison,26.8,1730.0,1678.1,1498.4,1365.3,2018 Acapulco QF,25.8,1807.7
77,Matthew Ebden,31.2,1729.1,1614.7,1359.4,1657.8,2012 Indian Wells Masters R16,24.3,1774.1
78,Robin Haase,31.9,1727.8,1632.8,1630.3,1561.0,2011 Winston-Salem SF,24.4,1858.2
79,Jaume Munar,21.8,1722.0,1461.4,1757.6,,2018 Winston Salem R16,21.3,1759.6
80,Christian Garin,22.7,1721.0,1518.1,1701.7,1354.0,2018 Brisbane Qual,22.6,1770.4
81,Ivo Karlovic,40.0,1720.6,1650.5,1581.9,1647.6,2007 Paris Masters R32,28.7,1959.6
82,Jordan Thompson,24.8,1719.8,1666.9,1476.7,1499.3,2017 Memphis R32,22.8,1768.3
83,Joao Sousa,29.9,1718.1,1639.9,1662.8,1468.7,2016 Australian Open R32,26.8,1846.7
84,Marcos Baghdatis,33.6,1717.9,1664.9,1471.1,1585.1,2008 Marseille SF,22.7,1994.4
85,Marius Copil,28.3,1712.7,1652.9,1481.5,1541.8,2018 Basel F,28.0,1745.7
86,Pablo Cuevas,33.1,1712.5,1612.7,1707.2,1552.3,2016 Hamburg F,30.5,1909.3
87,Jack Sock,26.3,1711.3,1670.9,1675.9,1463.3,2017 Indian Wells Masters SF,24.4,2035.7
88,Mischa Zverev,31.4,1710.7,1588.0,1606.6,1614.8,2017 Australian Open QF,29.4,1839.7
89,Albert Ramos,31.1,1709.1,1541.5,1734.0,1429.3,2017 Barcelona QF,29.3,1870.2
90,Felix Auger Aliassime,18.5,1708.7,1523.6,1686.4,,2017 Banja Luka CH QF,17.1,1739.9
91,Ricardas Berankis,28.6,1708.5,1636.7,1523.3,1364.2,2010 Vancouver CH F,20.1,1806.0
92,Antonie Hoang,23.3,1708.1,1622.2,1400.1,,2019 Montpellier R16,23.3,1743.0
93,Miomir Kecmanovic,19.4,1704.3,1628.8,1476.2,,2018 Brisbane R16,19.3,1757.1
94,Hubert Hurkacz,22.0,1704.1,1593.1,1640.7,1380.2,2019 Australian Open R128,21.9,1737.1
95,Guillermo Garcia Lopez,35.7,1701.5,1609.6,1647.6,1445.9,2010 Shanghai Masters QF,27.4,1878.1
96,Gilles Muller,35.3,1701.3,1580.8,1516.0,1638.6,2017 Wimbledon QF,34.2,1976.9
97,Nicolas Jarry,23.4,1699.5,1536.5,1669.9,1348.4,2018 Shanghai Masters R16,23.0,1799.0
98,Vasek Pospisil,28.3,1699.1,1652.2,1279.9,1472.7,2015 Valencia SF,25.3,1858.6
99,Cameron Norrie,23.5,1695.3,1645.9,1541.5,1331.5,2017 Las Vegas CH R16,22.1,1779.0
100,Horacio Zeballos,33.7,1689.7,1537.9,1652.2,1296.3,2009 St. Petersburg F,24.5,1787.8
101,Jiri Vesely,25.6,1689.4,1529.0,1666.9,1628.9,2014 Wimbledon R32,21.0,1892.8
102,Denis Kudla,26.5,1688.4,1584.2,1470.2,1613.0,2015 Atlanta SF,22.9,1778.5
103,Brayden Schnur,23.6,1683.9,1604.5,,1488.0,2019 New York F,23.6,1714.7
104,Lloyd George Muirhead Harris,22.0,1681.0,1625.5,1319.5,1367.9,2018 Fairfield CH QF,21.6,1733.2
105,Tennys Sandgren,27.6,1680.5,1605.4,1529.5,1327.5,2019 Australian Open R128,27.5,1717.9
106,Juan Ignacio Londero,25.5,1679.9,1301.9,1646.5,1362.1,2019 Rio De Janeiro R16,25.5,1693.4
107,Jared Donaldson,22.4,1679.7,1591.5,1512.0,1378.2,2017 Chengdu QF,21.0,1784.5
108,Tommy Paul,21.6,1678.0,1614.9,1364.1,,2018 Playford CH R16,21.6,1669.1
109,Viktor Troicki,33.0,1676.3,1573.7,1706.4,1513.2,2011 Monte Carlo Masters QF,25.2,1990.9
110,Mikhail Youzhny,36.2,1670.7,1625.6,1496.4,1577.1,2010 Miami Masters QF,27.7,2015.1
111,Jozef Kovalik,25.7,1670.2,1491.4,1626.5,1287.6,2018 Hamburg SF,25.7,1696.3
112,Malek Jaziri,35.1,1670.0,1597.7,1582.6,1344.3,2017 Miami Masters R32,33.2,1791.6
113,Dudi Sela,33.9,1668.7,1574.8,1310.0,1682.9,2009 Miami Masters R128,24.0,1817.1
114,Nicolas Mahut,37.1,1664.5,1577.3,1503.7,1650.8,2016 Metz QF,34.7,1822.0
115,Thomas Fabbiano,29.7,1661.2,1570.7,1469.2,1468.1,2017 Nottingham CH F,28.0,1701.6
116,James Duckworth,27.1,1659.7,1602.3,1459.2,1456.3,2017 Australian Open R128,25.0,1717.4
117,Simone Bolelli,33.4,1658.3,1548.3,1662.9,1606.9,2008 Roland Garros R32,22.6,1880.6
118,Maximilian Marterer,23.7,1658.0,1592.3,1628.9,1330.6,2018 Stuttgart R16,23.0,1809.9
119,Ilya Ivashka,25.0,1657.9,1585.3,1422.5,1430.6,2019 Canberra CH F,24.9,1736.0
120,Taro Daniel,26.1,1657.3,1546.7,1651.6,1333.1,2015 Prague CH QF,22.4,1744.6
121,Yannick Hanfmann,26.8,1656.7,1337.9,1655.9,1435.1,2017 Gstaad F,25.7,1728.8
122,Roberto Carballes Baena,25.9,1655.7,1403.4,1644.0,1257.8,2018 Brest CH SF,25.6,1698.8
123,Pablo Andujar,33.0,1654.6,1374.1,1694.1,1259.9,2015 Roland Garros R32,29.3,1788.3
124,Matthias Bachinger,31.9,1653.8,1597.1,1466.7,1459.7,2011 Granby CH F,24.3,1703.4
125,Egor Gerasimov,26.3,1652.1,1588.3,1397.2,1429.3,2017 Samarkand CH QF,24.5,1770.1
126,Michael Mmoh,21.0,1650.0,1594.4,1401.0,1386.8,2017 San Francisco CH SF,19.1,1729.8
127,Donald Young,29.6,1648.3,1602.5,1485.2,1433.0,2017 Miami Masters R16,27.7,1834.4
128,Yuki Bhambri,26.3,1648.2,1581.8,1405.0,1410.1,2016 Australian Open R128,23.5,1720.4
129,Bradley Klahn,28.4,1645.8,1585.5,1398.2,1220.2,2014 Delray Beach R32,23.5,1763.0
130,Alexander Bublik,21.7,1641.4,1577.2,1309.0,1349.1,2017 Istanbul CH SF,20.2,1698.0
131,Mikael Ymer,20.4,1630.9,1570.1,1532.5,,2019 Koblenz CH QF,20.3,1704.3
132,Bjorn Fratangelo,25.6,1630.5,1570.8,1629.8,1439.7,2016 Surbiton CH SF,22.9,1717.5
133,Stefano Travaglia,27.2,1630.1,1583.7,1520.9,1317.4,2018 Alicante CH R32,26.3,1687.2
134,Yannick Maden,29.3,1628.9,1551.0,1540.1,1392.5,2018 Rennes CH QF,28.2,1716.9
135,Pedro Sousa,30.7,1623.1,1164.8,1628.6,1346.8,2017 Rome CH R16,29.3,1716.1
136,Evgeny Donskoy,28.8,1622.8,1531.3,1460.3,1357.0,2015 Pune CH F,25.5,1717.0
137,Alexei Popyrin,19.5,1619.1,1550.9,1334.8,,2019 New York Qual,19.5,1694.5
138,Lukas Rosol,33.6,1613.3,1515.3,1620.0,1383.6,2014 US Open R128,29.1,1882.1
139,Blaz Kavcic,31.7,1612.4,1517.0,1459.2,1419.5,2009 Rijeka CH F,22.3,1760.0
140,Lukas Lacko,31.3,1612.3,1490.8,1295.8,1563.8,2012 Dallas2 CH QF,24.3,1791.9
141,Marcel Granollers,32.9,1612.1,1516.1,1586.7,1582.3,2012 Sydney R32,25.7,1894.0
142,Casper Ruud,20.2,1611.1,1544.8,1511.0,,2016 Szczecin CH R16,17.7,1722.5
143,Rogerio Dutra Silva,35.0,1610.4,1573.7,1543.9,1192.7,2017 Roland Garros R64,33.3,1686.6
144,Henri Laaksonen,26.9,1606.9,1526.7,1529.5,1325.6,2017 Knoxville CH SF,25.6,1690.8
145,Gregoire Barrere,25.0,1605.8,1525.2,1475.1,1353.1,2019 Budapest CH R32,25.0,1635.7
146,Prajnesh Gunneswaran,29.3,1604.9,1537.5,1373.3,1347.1,2018 Pune CH F,29.0,1677.9
147,Corentin Moutet,19.8,1604.7,1515.4,1541.4,,2017 Eckental CH QF,18.5,1706.5
148,Alejandro Davidovich Fokina,19.7,1604.5,1502.5,1515.5,,2019 Bangkok CH F,19.7,1629.2
149,Noah Rubin,23.0,1603.6,1522.8,1565.7,1380.8,2018 Washington R16,22.4,1734.3
150,Oscar Otte,25.6,1603.1,1511.9,1458.7,1566.2,2017 Braunschweig CH SF,24.0,1716.3
151,Paolo Lorenzi,37.2,1601.9,1524.8,1594.5,1269.0,2017 Quito F,35.1,1778.6
152,Tallon Griekspoor,22.6,1601.7,1488.7,1579.6,1357.6,2019 Koblenz CH SF,22.5,1694.1
153,Elias Ymer,22.9,1601.0,1581.3,1497.9,1429.9,2015 Ilkley CH R32,19.2,1729.3
154,Jurij Rodionov,19.7,1597.7,1552.9,1478.5,,2018 Astana CH SF,19.2,1707.0
155,Kamil Majchrzak,23.1,1594.9,1537.3,1429.5,1339.0,2019 Burnie CH SF,23.0,1644.4
156,Sergiy Stakhovsky,33.1,1594.4,1499.7,1402.9,1619.9,2010 Kuala Lumpur R16,24.7,1845.9
157,Lorenzo Sonego,23.8,1592.5,1433.7,1607.9,1267.9,2018 Szczecin CH R32,23.3,1677.2
158,Pavel Kotov,20.2,1590.6,1495.2,1423.9,,2019 Budapest CH R16,20.2,1626.1
159,Carlos Berlocq,36.0,1589.7,1581.7,1551.2,1294.5,2012 Dusseldorf RR,29.3,1851.9
160,Ruben Bemelmans,31.1,1587.9,1512.7,1436.1,1448.1,2012 Orleans CH F,24.7,1706.6
161,Constant Lestienne,26.7,1587.4,1513.3,1338.1,,2018 Antwerp Qual,26.4,1643.8
162,Yuichi Sugita,30.4,1587.3,1485.7,1344.2,1600.2,2017 Cincinnati Masters QF,28.9,1795.5
163,Alessandro Giannessi,28.7,1583.9,1407.2,1566.4,1385.7,2011 Napoli2 CH F,21.3,1726.6
164,Tommy Robredo,36.7,1582.7,1544.8,1573.4,1524.1,2009 Roland Garros QF,27.1,1985.7
165,Thiemo De Bakker,30.4,1580.3,1446.8,1638.0,1470.0,2010 New Haven SF,21.9,1881.3
166,Yasutaka Uchiyama,26.5,1579.7,1527.2,1139.3,1363.9,2017 Yokohama CH R32,24.6,1631.3
167,Alex Bolt,26.1,1578.6,1511.9,1284.2,1501.0,2019 Australian Open R32,26.0,1597.2
168,Jason Kubler,25.7,1578.4,1510.4,1349.6,1412.2,2018 Kaohsiung CH R32,25.3,1675.9
169,Yosuke Watanuki,20.9,1577.4,1512.2,,,2018 Ningbo CH R16,20.5,1682.8
170,Mikael Torpegaard,24.8,1576.3,1509.0,,,2016 Las Vegas CH QF,22.4,1765.3
171,Guido Andreozzi,27.5,1575.9,1431.5,1547.6,1287.5,2018 Bordeaux CH SF,26.8,1731.3
172,Thiago Monteiro,24.7,1575.7,1415.1,1544.4,1423.7,2016 Gstaad QF,22.1,1756.0
173,Marco Trungelliti,29.0,1574.1,1329.9,1605.8,1349.3,2018 Tampere CH QF,28.5,1681.2
174,Gerald Melzer,28.3,1572.4,1399.1,1559.6,1371.5,2018 Quito QF,27.6,1712.8
175,Jason Jung,29.7,1569.4,1503.9,1401.0,1409.1,2018 Zhuhai CH SF,28.7,1670.7
176,Dennis Novak,25.4,1568.9,1436.8,1493.9,1473.0,2018 Bratislava CH SF,25.2,1611.6
177,Santiago Giraldo,31.2,1568.3,1486.0,1553.6,1450.7,2012 Roland Garros R32,24.5,1855.9
178,Facundo Bagnis,29.0,1568.3,1284.6,1548.0,1243.8,2016 Marrakech QF,26.1,1712.0
179,Darian King,26.8,1566.0,1515.5,1221.3,1471.5,2017 Bradenton CH R32,25.0,1636.4
180,Daniel Brands,31.6,1564.9,1512.1,1446.1,1456.2,2013 Doha QF,26.5,1819.7
181,Marcos Giron,25.5,1563.9,1489.0,1323.4,,2019 Dallas CH QF,25.5,1591.6
182,Hugo Dellien,25.7,1563.9,1205.1,1539.2,,2018 Shymkent CH SF,24.9,1709.6
183,Jurgen Zopp,30.9,1563.4,1437.1,1581.1,1452.4,2012 Kitzbuhel R16,24.3,1720.0
184,Alexey Vatutin,26.3,1561.8,1506.5,1459.4,,2018 Marrakech QF,25.4,1641.7
185,Tim Smyczek,31.1,1560.6,1477.6,1331.2,1501.0,2015 Irving CH F,27.2,1736.9
186,Mirza Basic,27.6,1560.4,1502.9,1411.7,1281.2,2018 Indian Wells CH R32,26.6,1733.2
187,Tatsuma Ito,30.7,1558.6,1504.1,1256.0,1486.7,2012 Dusseldorf RR,24.0,1728.5
188,Mats Moraing,26.7,1558.5,1495.5,1405.2,1322.0,2018 Mexico City CH R16,25.8,1693.5
189,Roberto Marcora,29.5,1548.2,1515.7,1406.3,1317.3,2019 Bergamo CH F,29.5,1566.0
190,Christopher Eubanks,22.8,1544.6,1485.1,1173.2,1427.7,2018 Puerto Vallarta CH R32,22.0,1584.2
191,Dustin Brown,34.2,1544.1,1458.1,1538.0,1557.2,2017 Delray Beach R32,32.2,1777.4
192,Filippo Baldi,23.1,1544.0,1418.2,1517.1,,2018 Andria CH F,22.9,1682.9
193,Enzo Couacaud,24.0,1541.7,1449.9,1243.6,1442.7,2018 Calgary CH QF,23.6,1587.1
194,Luca Vanni,33.7,1539.8,1465.4,1399.8,1371.8,2017 Budapest CH QF,31.7,1632.8
195,Tobias Kamke,32.7,1538.2,1506.1,1401.0,1499.0,2012 Australian Open R64,25.7,1754.1
196,Facundo Arguello,26.5,1536.5,1278.1,1512.3,1404.5,2013 Roland Garros Qual,20.8,1694.0
197,Mathias Bourgue,25.1,1536.3,1490.6,1409.8,1383.7,2017 Blois CH SF,23.4,1647.7
198,Adrian Menendez Maceiras,33.3,1532.2,1458.2,1477.7,1316.9,2015 Leon CH F,29.4,1613.2
199,Jeffrey John Wolf,20.1,1532.1,1460.0,,,2019 Cleveland CH R16,20.1,1566.6
200,Soon Woo Kwon,21.2,1529.5,1477.5,1260.5,1354.1,2017 Astana CH QF,19.6,1583.1
201,Aleksandr Nedovyesov,32.0,1527.0,1450.0,1523.4,1510.1,2013 ATP Challenger Tour Finals CH SF,26.7,1726.3
202,Dominik Koepfer,24.8,1523.3,1468.7,1323.6,1303.5,2018 Cary CH QF,24.4,1600.5
203,Blaz Rola,28.2,1520.9,1454.9,1441.1,1452.9,2014 Panama City CH F,23.4,1722.2
204,Saketh Myneni,31.3,1520.9,1453.8,1379.2,1414.1,2016 Surbiton CH R16,28.6,1630.0
205,Gianluigi Quinzi,23.0,1519.2,1318.0,1490.3,1331.4,2018 Perugia CH F,22.4,1662.0
206,Stefano Napolitano,23.9,1518.6,1392.2,1532.5,,2017 Noumea CH R32,21.7,1628.8
207,Peter Polansky,30.7,1514.6,1471.4,1309.1,1345.3,2014 Prostejov CH R16,25.9,1643.0
208,Ernesto Escobedo,22.6,1514.4,1444.6,1399.2,1415.9,2016 Las Vegas CH R16,20.3,1708.3
209,Quentin Halys,22.3,1513.4,1431.5,1515.5,1468.3,2016 Ilkley CH QF,19.6,1675.9
210,Zhe Li,32.4,1512.7,1440.2,1086.4,1286.0,2019 Bangkok CH QF,32.4,1521.9
211,Joris De Loore,25.5,1512.6,1435.8,1397.5,,2016 Fairfield CH SF,23.5,1646.0
212,Pedro Martinez Portero,21.8,1512.0,1321.4,1543.1,,2018 Prague CH SF,21.2,1606.2
213,Jay Clarke,20.6,1511.9,1455.1,1371.8,1301.1,2018 Aptos CH R16,20.0,1618.7
214,Nicola Kuhn,18.9,1511.7,1453.9,1390.8,,2017 Meerbusch CH SF,17.4,1589.6
215,Thomaz Bellucci,31.1,1510.2,1552.0,1440.3,1345.3,2010 Hamburg QF,22.6,1931.8
216,Gianluca Mager,24.2,1509.1,1422.6,1415.4,,2018 Pullach CH QF,23.7,1494.3
217,Kimmer Coppejans,25.0,1508.9,1347.1,1500.2,1225.0,2015 Turin CH F,21.2,1685.1
218,Gleb Sakharov,30.6,1508.8,1521.2,1264.9,,2018 Rennes CH QF,29.6,1621.9
219,Kenny De Schepper,31.7,1508.6,1482.6,1389.9,1547.0,2012 Seoul CH QF,25.4,1768.8
220,Elliot Benchetrit,20.4,1508.4,1414.3,1348.0,,2019 Bergamo CH R16,20.4,1534.6
221,Viktor Galovic,28.4,1508.1,1417.5,1483.5,1379.3,2017 Cortina CH R32,26.8,1646.2
222,Nikola Milojevic,23.6,1507.7,1414.0,1462.5,,2018 Almaty CH F,23.3,1575.4
223,Vincent Millot,33.0,1506.0,1414.2,1423.6,1558.9,2016 Mons CH F,30.7,1678.0
224,Arthur De Greef,26.9,1505.5,1329.2,1478.8,1380.7,2017 Marburg CH SF,25.3,1621.0
225,Lorenzo Giustino,27.4,1505.2,1335.5,1470.2,1342.7,2013 Scheveningen CH QF,21.8,1574.0
226,Filip Horansky,26.1,1504.9,1314.8,1465.3,1425.5,2019 Budapest CH SF,26.1,1558.7
227,Andrew Harris,24.9,1503.0,1433.9,,,2015 Australian Open Qual,20.9,1543.8
228,Andrej Martin,29.4,1502.5,1304.7,1510.7,1230.2,2014 US Open Qual,24.9,1654.7
229,Daniel Gimeno Traver,33.5,1498.0,1267.4,1523.5,1195.8,2010 US Open R32,25.1,1814.4
230,Go Soeda,34.5,1497.1,1432.0,1247.1,1391.8,2012 Rome Masters Qual,27.7,1705.7
231,Norbert Gombos,28.5,1496.5,1460.1,1407.0,1266.4,2014 Kosice CH F,23.8,1678.2
232,Kevin Krawietz,27.0,1493.3,1394.6,1441.1,1348.1,2018 Meerbusch CH QF,26.6,1546.5
233,Adam Pavlasek,24.3,1493.1,1375.2,1483.4,1428.0,2016 Rome CH R32,22.0,1752.5
234,Pedro Cachin,23.9,1492.1,1164.8,1489.7,1368.6,2015 Banja Luka CH R32,20.4,1623.2
235,Salvatore Caruso,26.2,1490.1,1386.1,1503.3,,2018 Genova CH R32,25.7,1597.7
236,Marcelo Tomas Barrios Vera,21.2,1490.0,1403.2,1398.1,,2019 Cuernavaca CH R16,21.2,1533.9
237,Attila Balazs,29.8,1489.7,1226.0,1471.9,,2012 Bucharest SF,23.6,1631.7
238,Andrea Arnaboldi,31.1,1488.6,1383.0,1461.6,1465.0,2015 Cortina CH SF,27.6,1593.0
239,Renzo Olivo,26.9,1487.1,1378.4,1446.5,1367.9,2015 Buenos Aires R16,22.9,1650.3
240,Sergio Gutierrez Ferrol,29.9,1483.9,1198.3,1527.6,1297.5,2012 Madrid CH SF,23.6,1647.5
241,John Patrick Smith,29.2,1481.2,1408.5,1232.2,1447.5,2015 Cary CH R16,25.8,1665.5
242,Christian Harrison,24.7,1471.0,1349.9,1474.9,1409.2,2018 Lisbon CH QF,24.0,1561.6
243,Tristan Lamasine,26.0,1471.0,1406.7,1362.7,1329.5,2015 Alphen CH SF,22.5,1624.0
244,Pedja Krstin,24.5,1469.5,1320.8,1484.3,,2016 Leon CH R16,21.5,1561.4
245,Carlos Taberner,21.5,1468.3,1352.0,1522.5,,2017 Rome CH SF,20.1,1691.4
246,Sebastian Ofner,22.8,1467.5,1436.6,1305.4,1500.6,2017 Vancouver CH R16,21.3,1666.7
247,Thai Son Kwiatkowski,24.0,1467.4,1408.7,,1345.2,2019 Da Nang CH SF,23.9,1597.3
248,Max Purcell,20.9,1466.8,1379.1,1432.9,1432.3,2018 S-Hertogenbosch R32,20.2,1599.5
